Membership No  Date Joined  Active  
    35674      2017-12-21   no    
    19311      2020-2-10    no    
    84845      2016-3-19    no    
    28099      2017-10-22   no    
    75154      2016-3-10    no    
    13081      2019-1-4     no    
    20380      2015-6-6     no    
    88163      2018-5-23    no    
    68200      2018-5-14    no    
    59045      2020-4-21    no    
    83533      2015-10-18   no    
    15561      2018-3-6     no    
    53423      2017-3-25    no    
    19199      2018-8-13    no    
    90081      2016-10-8    no    
    97162      2016-5-10    no    
