Membership No  Date Joined  Active  
    44442      2016-8-5     no    
    40206      2015-5-14    no    
    16273      2018-10-5    no    
    36638      2019-7-20    no    
    49496      2018-11-17   no    
    81464      2020-7-4     no    
    67630      2020-6-14    no    
    15705      2018-12-20   no    
    97057      2019-10-23   no    
    57955      2016-3-1     no    
    60011      2016-5-5     no    
    27635      2015-2-8     no    
    33443      2017-7-3     no    
    91946      2017-2-13    no    
